PERMNO,date,TICKER,COMNAM,PERMCO,CUSIP,PRC,RET
11850,20070320,XOM,EXXON MOBIL CORP,20678,30231G10,72.00000,0.012658
11850,20070321,XOM,EXXON MOBIL CORP,20678,30231G10,73.23000,0.017083
11850,20070322,XOM,EXXON MOBIL CORP,20678,30231G10,74.36000,0.015431
11850,20070323,XOM,EXXON MOBIL CORP,20678,30231G10,75.02420,0.008932
11850,20070326,XOM,EXXON MOBIL CORP,20678,30231G10,75.47000,0.005942
11850,20070327,XOM,EXXON MOBIL CORP,20678,30231G10,75.71000,0.003180
11850,20070328,XOM,EXXON MOBIL CORP,20678,30231G10,75.56000,-0.001981
11850,20070329,XOM,EXXON MOBIL CORP,20678,30231G10,76.24000,0.008999
11850,20070330,XOM,EXXON MOBIL CORP,20678,30231G10,75.45000,-0.010362
11850,20070402,XOM,EXXON MOBIL CORP,20678,30231G10,76.16000,0.009410
11850,20070403,XOM,EXXON MOBIL CORP,20678,30231G10,76.80000,0.008403
11850,20070404,XOM,EXXON MOBIL CORP,20678,30231G10,77.11000,0.004036
11850,20070405,XOM,EXXON MOBIL CORP,20678,30231G10,77.22000,0.001427
11850,20070409,XOM,EXXON MOBIL CORP,20678,30231G10,76.80000,-0.005439
11850,20070410,XOM,EXXON MOBIL CORP,20678,30231G10,77.57000,0.010026
11850,20070411,XOM,EXXON MOBIL CORP,20678,30231G10,76.77000,-0.010313
11850,20070412,XOM,EXXON MOBIL CORP,20678,30231G10,77.39000,0.008076
11850,20070413,XOM,EXXON MOBIL CORP,20678,30231G10,77.41000,0.000258
11850,20070416,XOM,EXXON MOBIL CORP,20678,30231G10,78.17000,0.009818
11850,20070417,XOM,EXXON MOBIL CORP,20678,30231G10,78.40000,0.002942
11850,20070418,XOM,EXXON MOBIL CORP,20678,30231G10,78.20000,-0.002551
